CompetitionID,GameID,EndID,TeamID,OpponentID,Hammer,ScoreDiff,Pre_End_Score_Own,Pre_End_Score_Opp,PowerPlay_Active,PowerPlay_Opp,PointsScored,FinalPoints,OppPoints,Won_Game
0,1,1,19,27,True,0,0,0,False,False,1,33,17,True
0,1,1,27,19,False,0,0,0,False,False,2,17,33,False
0,1,2,19,27,False,-1,1,2,False,False,7,33,17,True
0,1,2,27,19,True,1,2,1,False,False,1,17,33,False
0,1,3,19,27,True,5,8,3,False,False,4,33,17,True
0,1,3,27,19,False,-5,3,8,False,False,4,17,33,False
0,1,4,19,27,False,5,12,7,False,False,4,33,17,True
0,1,4,27,19,True,-5,7,12,False,False,0,17,33,False
0,1,5,19,27,True,9,16,7,False,True,4,33,17,True
0,1,5,27,19,False,-9,7,16,True,False,0,17,33,False
0,1,6,19,27,False,13,20,7,False,True,1,33,17,True
0,1,6,27,19,True,-13,7,20,True,False,5,17,33,False
0,1,7,19,27,True,9,21,12,True,False,3,33,17,True
0,1,7,27,19,False,-9,12,21,False,True,3,17,33,False
0,1,8,19,27,False,9,24,15,False,False,9,33,17,True
0,1,8,27,19,True,-9,15,24,False,False,2,17,33,False
0,1,9,19,27,True,16,33,17,False,False,0,33,17,True
0,1,9,27,19,False,-16,17,33,False,False,0,17,33,False
0,2,1,46,20,False,0,0,0,False,False,3,14,12,True
0,2,1,20,46,True,0,0,0,False,False,1,12,14,False
0,2,2,46,20,True,2,3,1,False,False,1,14,12,True
0,2,2,20,46,False,-2,1,3,False,False,1,12,14,False
0,2,3,46,20,False,2,4,2,False,False,1,14,12,True
0,2,3,20,46,True,-2,2,4,False,False,2,12,14,False
0,2,4,46,20,True,1,5,4,False,False,0,14,12,True
0,2,4,20,46,False,-1,4,5,False,False,1,12,14,False
0,2,5,46,20,False,0,5,5,False,False,0,14,12,True
0,2,5,20,46,True,0,5,5,False,False,4,12,14,False
0,2,6,46,20,True,-4,5,9,True,False,6,14,12,True
0,2,6,20,46,False,4,9,5,False,True,0,12,14,False
0,2,7,46,20,False,2,11,9,False,True,2,14,12,True
0,2,7,20,46,True,-2,9,11,True,False,2,12,14,False
0,2,8,46,20,True,2,13,11,False,False,1,14,12,True
0,2,8,20,46,False,-2,11,13,False,False,1,12,14,False
0,2,9,46,20,False,2,14,12,False,False,0,14,12,True
0,2,9,20,46,True,-2,12,14,False,False,0,12,14,False
0,3,1,17,22,True,0,0,0,False,False,1,14,10,True
0,3,1,22,17,False,0,0,0,False,False,0,10,14,False
0,3,2,17,22,False,1,1,0,False,False,6,14,10,True
0,3,2,22,17,True,-1,0,1,False,False,0,10,14,False
0,3,3,17,22,True,7,7,0,False,False,0,14,10,True
0,3,3,22,17,False,-7,0,7,False,False,2,10,14,False
0,3,4,17,22,False,5,7,2,False,True,2,14,10,True
0,3,4,22,17,True,-5,2,7,True,False,0,10,14,False
0,3,5,17,22,True,7,9,2,False,False,0,14,10,True
0,3,5,22,17,False,-7,2,9,False,False,1,10,14,False
0,3,6,17,22,False,6,9,3,True,False,2,14,10,True
0,3,6,22,17,True,-6,3,9,False,True,3,10,14,False
0,3,7,17,22,True,5,11,6,False,True,3,14,10,True
0,3,7,22,17,False,-5,6,11,True,False,0,10,14,False
0,3,8,17,22,False,8,14,6,False,False,0,14,10,True
0,3,8,22,17,True,-8,6,14,False,False,3,10,14,False
0,3,9,17,22,True,5,14,9,False,False,0,14,10,True
0,3,9,22,17,False,-5,9,14,False,False,1,10,14,False
0,4,1,43,18,False,0,0,0,False,False,2,13,6,True
0,4,1,18,43,True,0,0,0,False,False,0,6,13,False
0,4,2,43,18,True,2,2,0,False,False,1,13,6,True
0,4,2,18,43,False,-2,0,2,False,False,0,6,13,False
0,4,3,43,18,False,3,3,0,False,False,4,13,6,True
0,4,3,18,43,True,-3,0,3,False,False,0,6,13,False
0,4,4,43,18,True,7,7,0,False,False,1,13,6,True
0,4,4,18,43,False,-7,0,7,False,False,2,6,13,False
0,4,5,43,18,False,6,8,2,False,False,2,13,6,True
0,4,5,18,43,True,-6,2,8,False,False,0,6,13,False
0,4,6,43,18,True,8,10,2,False,True,0,13,6,True
0,4,6,18,43,False,-8,2,10,True,False,3,6,13,False
0,4,7,43,18,False,5,10,5,True,False,2,13,6,True
0,4,7,18,43,True,-5,5,10,False,True,0,6,13,False
0,4,8,43,18,True,7,12,5,False,False,0,13,6,True
0,4,8,18,43,False,-7,5,12,False,False,1,6,13,False
0,4,9,43,18,False,6,12,6,False,False,1,13,6,True
0,4,9,18,43,True,-6,6,12,False,False,0,6,13,False
22230015,1,1,44,36,False,0,0,0,False,False,3,11,12,False
22230015,1,1,36,44,True,0,0,0,False,False,0,12,11,True
22230015,1,2,44,36,True,3,3,0,False,False,1,11,12,False
22230015,1,2,36,44,False,-3,0,3,False,False,3,12,11,True
22230015,1,3,44,36,False,1,4,3,False,False,0,11,12,False
22230015,1,3,36,44,True,-1,3,4,False,False,2,12,11,True
22230015,1,4,44,36,True,-1,4,5,False,False,0,11,12,False
22230015,1,4,36,44,False,1,5,4,False,False,2,12,11,True
22230015,1,5,44,36,False,-3,4,7,False,False,4,11,12,False
22230015,1,5,36,44,True,3,7,4,False,False,0,12,11,True
22230015,1,6,44,36,True,1,8,7,False,True,0,11,12,False
22230015,1,6,36,44,False,-1,7,8,True,False,2,12,11,True
22230015,1,7,44,36,False,-1,8,9,True,False,3,11,12,False
22230015,1,7,36,44,True,1,9,8,False,True,3,12,11,True
22230015,1,8,44,36,True,-1,11,12,False,False,0,11,12,False
22230015,1,8,36,44,False,1,12,11,False,False,0,12,11,True
22230015,1,9,44,36,False,-1,11,12,False,False,0,11,12,False
22230015,1,9,36,44,True,1,12,11,False,False,0,12,11,True
22230015,2,1,25,46,True,0,0,0,False,False,1,6,17,False
22230015,2,1,46,25,False,0,0,0,False,False,2,17,6,True
22230015,2,2,25,46,False,-1,1,2,False,False,0,6,17,False
22230015,2,2,46,25,True,1,2,1,False,False,2,17,6,True
22230015,2,3,25,46,True,-3,1,4,False,False,1,6,17,False
22230015,2,3,46,25,False,3,4,1,False,False,0,17,6,True
22230015,2,4,25,46,False,-2,2,4,False,False,0,6,17,False
22230015,2,4,46,25,True,2,4,2,False,False,2,17,6,True
22230015,2,5,25,46,True,-4,2,6,False,False,0,6,17,False
22230015,2,5,46,25,False,4,6,2,False,False,1,17,6,True
22230015,2,6,25,46,False,-5,2,7,False,False,3,6,17,False
22230015,2,6,46,25,True,5,7,2,False,False,2,17,6,True
22230015,2,7,25,46,True,-4,5,9,False,False,0,6,17,False
22230015,2,7,46,25,False,4,9,5,False,False,3,17,6,True
22230015,2,8,25,46,False,-7,5,12,True,False,1,6,17,False
22230015,2,8,46,25,True,7,12,5,False,True,4,17,6,True
22230015,2,9,25,46,True,-10,6,16,False,False,0,6,17,False
22230015,2,9,46,25,False,10,16,6,False,False,1,17,6,True
22230015,3,1,10,14,False,0,0,0,False,False,4,8,11,False
22230015,3,1,14,10,True,0,0,0,False,False,2,11,8,True
22230015,3,2,10,14,True,2,4,2,False,False,1,8,11,False
22230015,3,2,14,10,False,-2,2,4,False,False,0,11,8,True
22230015,3,3,10,14,False,3,5,2,False,False,0,8,11,False
22230015,3,3,14,10,True,-3,2,5,False,False,3,11,8,True
22230015,3,4,10,14,True,0,5,5,False,False,1,8,11,False
