CompetitionID,GameID,EndID,TeamID,OpponentID,Hammer,ScoreDiff,Pre_End_Score_Own,Pre_End_Score_Opp,PowerPlay_Active,PowerPlay_Opp,PointsScored,FinalPoints,OppPoints,Won_Game,WinProb
0,1,1,19,27,1,0,0,0,0,False,1,33,17,True,0.3545224659569643
0,1,1,27,19,0,0,0,0,0,False,2,17,33,False,0.6392839892286579
0,1,2,19,27,0,-1,1,2,0,False,7,33,17,True,0.08275370122248575
0,1,2,27,19,1,1,2,1,0,False,1,17,33,False,0.5861602298144808
0,1,3,19,27,1,5,8,3,0,False,4,33,17,True,0.9556098269526491
0,1,3,27,19,0,-5,3,8,0,False,4,17,33,False,0.0443940595351707
0,1,4,19,27,0,5,12,7,0,False,4,33,17,True,0.9460123310495672
0,1,4,27,19,1,-5,7,12,0,False,0,17,33,False,0.04444096861032862
0,1,5,19,27,1,9,16,7,0,True,4,33,17,True,0.964617271368454
0,1,5,27,19,0,-9,7,16,1,False,0,17,33,False,0.06900688093146315
0,1,6,19,27,0,13,20,7,0,True,1,33,17,True,0.9734374908934593
0,1,6,27,19,1,-13,7,20,1,False,5,17,33,False,0.07622324234782459
0,1,7,19,27,1,9,21,12,1,False,3,33,17,True,0.9855010207184121
0,1,7,27,19,0,-9,12,21,0,True,3,17,33,False,0.019980074829924165
0,1,8,19,27,0,9,24,15,0,False,9,33,17,True,0.9791826175991122
0,1,8,27,19,1,-9,15,24,0,False,2,17,33,False,0.028058250598897376
0,1,9,19,27,1,16,33,17,0,False,0,33,17,True,0.992565300478344
0,1,9,27,19,0,-16,17,33,0,False,0,17,33,False,0.01076536139382439
0,2,1,46,20,0,0,0,0,0,False,3,14,12,True,0.6392839892286579
0,2,1,20,46,1,0,0,0,0,False,1,12,14,False,0.3545224659569643
0,2,2,46,20,1,2,3,1,0,False,1,14,12,True,0.6471786396407887
0,2,2,20,46,0,-2,1,3,0,False,1,12,14,False,0.10939907382374066
0,2,3,46,20,0,2,4,2,0,False,1,14,12,True,0.7009319902895942
0,2,3,20,46,1,-2,2,4,0,False,2,12,14,False,0.09909481496799107
0,2,4,46,20,1,1,5,4,0,False,0,14,12,True,0.6377455865645413
0,2,4,20,46,0,-1,4,5,0,False,1,12,14,False,0.06839398452812921
0,2,5,46,20,0,0,5,5,0,False,0,14,12,True,0.3625795564403739
0,2,5,20,46,1,0,5,5,0,False,4,12,14,False,0.2744985405711983
0,2,6,46,20,1,-4,5,9,1,False,6,14,12,True,0.3299318560846796
0,2,6,20,46,0,4,9,5,0,True,0,12,14,False,0.9687708242267926
0,2,7,46,20,0,2,11,9,0,True,2,14,12,True,0.5663564136522203
0,2,7,20,46,1,-2,9,11,1,False,2,12,14,False,0.08629041318868684
0,2,8,46,20,1,2,13,11,0,False,1,14,12,True,0.8027765287287011
0,2,8,20,46,0,-2,11,13,0,False,1,12,14,False,0.025182043712886015
0,2,9,46,20,0,2,14,12,0,False,0,14,12,True,0.8129660780966419
0,2,9,20,46,1,-2,12,14,0,False,0,12,14,False,0.029017871550404736
0,3,1,17,22,1,0,0,0,0,False,1,14,10,True,0.3545224659569643
0,3,1,22,17,0,0,0,0,0,False,0,10,14,False,0.6392839892286579
0,3,2,17,22,0,1,1,0,0,False,6,14,10,True,0.491851660696759
0,3,2,22,17,1,-1,0,1,0,False,0,10,14,False,0.10732534197700208
0,3,3,17,22,1,7,7,0,0,False,0,14,10,True,0.9556098269526491
0,3,3,22,17,0,-7,0,7,0,False,2,10,14,False,0.0443940595351707
0,3,4,17,22,0,5,7,2,0,True,2,14,10,True,0.9460123310495672
0,3,4,22,17,1,-5,2,7,1,False,0,10,14,False,0.07016573319031542
0,3,5,17,22,1,7,9,2,0,False,0,14,10,True,0.964617271368454
0,3,5,22,17,0,-7,2,9,0,False,1,10,14,False,0.02918228458166979
0,3,6,17,22,0,6,9,3,1,False,2,14,10,True,0.9817923355156691
0,3,6,22,17,1,-6,3,9,0,True,3,10,14,False,0.045129252904328815
0,3,7,17,22,1,5,11,6,0,True,3,14,10,True,0.9500530123724108
0,3,7,22,17,0,-5,6,11,1,False,0,10,14,False,0.02202198221305773
0,3,8,17,22,0,8,14,6,0,False,0,14,10,True,0.9791826175991122
0,3,8,22,17,1,-8,6,14,0,False,3,10,14,False,0.028058250598897376
0,3,9,17,22,1,5,14,9,0,False,0,14,10,True,0.992565300478344
0,3,9,22,17,0,-5,9,14,0,False,1,10,14,False,0.01076536139382439
0,4,1,43,18,0,0,0,0,0,False,2,13,6,True,0.6392839892286579
0,4,1,18,43,1,0,0,0,0,False,0,6,13,False,0.3545224659569643
0,4,2,43,18,1,2,2,0,0,False,1,13,6,True,0.6471786396407887
0,4,2,18,43,0,-2,0,2,0,False,0,6,13,False,0.10939907382374066
0,4,3,43,18,0,3,3,0,0,False,4,13,6,True,0.6609786694765036
0,4,3,18,43,1,-3,0,3,0,False,0,6,13,False,0.1354035117274431
0,4,4,43,18,1,7,7,0,0,False,1,13,6,True,0.9700041761303588
0,4,4,18,43,0,-7,0,7,0,False,2,6,13,False,0.03098786128279198
0,4,5,43,18,0,6,8,2,0,False,2,13,6,True,0.9784546909818027
0,4,5,18,43,1,-6,2,8,0,False,0,6,13,False,0.045795842902702916
0,4,6,43,18,1,8,10,2,0,True,0,13,6,True,0.9679707612901598
0,4,6,18,43,0,-8,2,10,1,False,3,6,13,False,0.09004106253932898
0,4,7,43,18,0,5,10,5,1,False,2,13,6,True,0.9789351926585261
0,4,7,18,43,1,-5,5,10,0,True,0,6,13,False,0.0386041167008001
0,4,8,43,18,1,7,12,5,0,False,0,13,6,True,0.9834125562419661
0,4,8,18,43,0,-7,5,12,0,False,1,6,13,False,0.01625591926246489
0,4,9,43,18,0,6,12,6,0,False,1,13,6,True,0.9912531712473571
0,4,9,18,43,1,-6,6,12,0,False,0,6,13,False,0.01815917142699873
22230015,1,1,44,36,0,0,0,0,0,False,3,11,12,False,0.6392839892286579
22230015,1,1,36,44,1,0,0,0,0,False,0,12,11,True,0.3545224659569643
22230015,1,2,44,36,1,3,3,0,0,False,1,11,12,False,0.7789145551886644
22230015,1,2,36,44,0,-3,0,3,0,False,3,12,11,True,0.09039025181993768
22230015,1,3,44,36,0,1,4,3,0,False,0,11,12,False,0.5591956046009268
22230015,1,3,36,44,1,-1,3,4,0,False,2,12,11,True,0.09713396278732463
22230015,1,4,44,36,1,-1,4,5,0,False,0,11,12,False,0.09081861287874156
22230015,1,4,36,44,0,1,5,4,0,False,2,12,11,True,0.5901711883417237
22230015,1,5,44,36,0,-3,4,7,0,False,4,11,12,False,0.04475409283517233
22230015,1,5,36,44,1,3,7,4,0,False,0,12,11,True,0.8881138147201831
22230015,1,6,44,36,1,1,8,7,0,True,0,11,12,False,0.4510159401110429
22230015,1,6,36,44,0,-1,7,8,1,False,2,12,11,True,0.37823957326143715
22230015,1,7,44,36,0,-1,8,9,1,False,3,11,12,False,0.17385380725076507
22230015,1,7,36,44,1,1,9,8,0,True,3,12,11,True,0.5562350977313649
22230015,1,8,44,36,1,-1,11,12,0,False,0,11,12,False,0.1177615081256843
22230015,1,8,36,44,0,1,12,11,0,False,0,12,11,True,0.4756007907396515
22230015,1,9,44,36,0,-1,11,12,0,False,0,11,12,False,0.04767900812588545
22230015,1,9,36,44,1,1,12,11,0,False,0,12,11,True,0.6654131928939343
22230015,2,1,25,46,1,0,0,0,0,False,1,6,17,False,0.3545224659569643
22230015,2,1,46,25,0,0,0,0,0,False,2,17,6,True,0.6392839892286579
